from,to,category,category_A,NameSpace_A,ID_A,Name_A,category_B,NameSpace_B,ID_B,Name_B,PubMed,Source,Data_Source_Relationship
MeSH:D000152,GeneID:3553,Disease-Protein,Disease,MeSH,D000152,Acne Vulgaris,Protein,GeneID,3553,IL1B,,TTD,
MeSH:D000152,GeneID:5742,Disease-Protein,Disease,MeSH,D000152,Acne Vulgaris,Protein,GeneID,5742,PTGS1,,TTD,
MeSH:D000152,GeneID:5916,Disease-Protein,Disease,MeSH,D000152,Acne Vulgaris,Protein,GeneID,5916,RARG,,TTD,
MeSH:D000152,GeneID:6715,Disease-Protein,Disease,MeSH,D000152,Acne Vulgaris,Protein,GeneID,6715,SRD5A1,,TTD,
MeSH:D000152,GeneID:7124,Disease-Protein,Disease,MeSH,D000152,Acne Vulgaris,Protein,GeneID,7124,TNF,,TTD,
MeSH:D000152,GeneID:9759,Disease-Protein,Disease,MeSH,D000152,Acne Vulgaris,Protein,GeneID,9759,HDAC4,,TTD,
MeSH:D000163,GeneID:10663,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,10663,CXCR6,,TTD,
MeSH:D000163,GeneID:1234,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,1234,CCR5,,TTD,
MeSH:D000163,GeneID:3575,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,3575,IL7R,,TTD,
MeSH:D000163,GeneID:5478,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,5478,PPIA,,TTD,
MeSH:D000163,GeneID:5970,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,5970,RELA,,TTD,
MeSH:D000163,GeneID:643,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,643,CXCR5,,TTD,
MeSH:D000163,GeneID:7296,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,7296,TXNRD1,,TTD,
MeSH:D000163,GeneID:7433,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,7433,VIPR1,,TTD,
MeSH:D000163,GeneID:7852,Disease-Protein,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome,Protein,GeneID,7852,CXCR4,,TTD,
MeSH:D000172,GeneID:2690,Disease-Protein,Disease,MeSH,D000172,Acromegaly,Protein,GeneID,2690,GHR,,TTD,
MeSH:D000172,GeneID:6752,Disease-Protein,Disease,MeSH,D000172,Acromegaly,Protein,GeneID,6752,SSTR2,,TTD,
MeSH:D000224,GeneID:4306,Disease-Protein,Disease,MeSH,D000224,Addison Disease,Protein,GeneID,4306,NR3C2,,TTD,
MeSH:D000342,GeneID:553,Disease-Protein,Disease,MeSH,D000342,Affective Symptoms,Protein,GeneID,553,AVPR1B,,TTD,
MeSH:D000505,GeneID:6715,Disease-Protein,Disease,MeSH,D000505,Alopecia,Protein,GeneID,6715,SRD5A1,,TTD,
MeSH:D000505,GeneID:6716,Disease-Protein,Disease,MeSH,D000505,Alopecia,Protein,GeneID,6716,SRD5A2,,TTD,
MeSH:D000544,GeneID:1020,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1020,CDK5,,TTD,
MeSH:D000544,GeneID:10280,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,10280,SIGMAR1,,TTD,
MeSH:D000544,GeneID:1066,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1066,CES1,,TTD,
MeSH:D000544,GeneID:1075,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1075,CTSC,,TTD,
MeSH:D000544,GeneID:11255,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,11255,HRH3,,TTD,
MeSH:D000544,GeneID:1128,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1128,CHRM1,,TTD,
MeSH:D000544,GeneID:1129,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1129,CHRM2,,TTD,
MeSH:D000544,GeneID:1137,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1137,CHRNA4,,TTD,
MeSH:D000544,GeneID:1139,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1139,CHRNA7,,TTD,
MeSH:D000544,GeneID:1141,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1141,CHRNB2,,TTD,
MeSH:D000544,GeneID:1432,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1432,MAPK14,,TTD,
MeSH:D000544,GeneID:146057,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,146057,TTBK2,,TTD,
MeSH:D000544,GeneID:1509,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1509,CTSD,,TTD,
MeSH:D000544,GeneID:1813,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1813,DRD2,,TTD,
MeSH:D000544,GeneID:1889,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,1889,ECE1,,TTD,
MeSH:D000544,GeneID:2029,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2029,ENSA,,TTD,
MeSH:D000544,GeneID:2253,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2253,FGF8,,TTD,
MeSH:D000544,GeneID:2358,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2358,FPR2,,TTD,
MeSH:D000544,GeneID:23621,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,23621,BACE1,,TTD,
MeSH:D000544,GeneID:239,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,239,ALOX12,,TTD,
MeSH:D000544,GeneID:2558,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2558,GABRA5,,TTD,
MeSH:D000544,GeneID:2911,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2911,GRM1,,TTD,
MeSH:D000544,GeneID:2912,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2912,GRM2,,TTD,
MeSH:D000544,GeneID:2913,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2913,GRM3,,TTD,
MeSH:D000544,GeneID:2932,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,2932,GSK3B,,TTD,
MeSH:D000544,GeneID:325,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,325,APCS,,TTD,
MeSH:D000544,GeneID:3350,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,3350,HTR1A,,TTD,
MeSH:D000544,GeneID:3360,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,3360,HTR4,,TTD,
MeSH:D000544,GeneID:3362,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,3362,HTR6,,TTD,
MeSH:D000544,GeneID:3416,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,3416,IDE,,TTD,
MeSH:D000544,GeneID:348,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,348,APOE,,TTD,
MeSH:D000544,GeneID:351,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,351,APP,,TTD,
MeSH:D000544,GeneID:43,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,43,ACHE,,TTD,
MeSH:D000544,GeneID:4353,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,4353,MPO,,TTD,
MeSH:D000544,GeneID:4804,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,4804,NGFR,,TTD,
MeSH:D000544,GeneID:5300,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,5300,PIN1,,TTD,
MeSH:D000544,GeneID:5468,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,5468,PPARG,,TTD,
MeSH:D000544,GeneID:5525,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,5525,PPP2R5A,,TTD,
MeSH:D000544,GeneID:5663,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,5663,PSEN1,,TTD,
MeSH:D000544,GeneID:5664,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,5664,PSEN2,,TTD,
MeSH:D000544,GeneID:5743,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,5743,PTGS2,,TTD,
MeSH:D000544,GeneID:5788,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,5788,PTPRC,,TTD,
MeSH:D000544,GeneID:590,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,590,BCHE,,TTD,
MeSH:D000544,GeneID:624,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,624,BDKRB2,,TTD,
MeSH:D000544,GeneID:7498,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,7498,XDH,,TTD,
MeSH:D000544,GeneID:83464,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,83464,APH1B,,TTD,
MeSH:D000544,GeneID:8811,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,8811,GALR2,,TTD,
MeSH:D000544,GeneID:8837,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,8837,CFLAR,,TTD,
MeSH:D000544,GeneID:8942,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,8942,KYNU,,TTD,
MeSH:D000544,GeneID:89832,Disease-Protein,Disease,MeSH,D000544,Alzheimer Disease,Protein,GeneID,89832,CHRFAM7A,,TTD,
MeSH:D000562,GeneID:2339,Disease-Protein,Disease,MeSH,D000562,Amebiasis,Protein,GeneID,2339,FNTA,,TTD,
MeSH:D000562,GeneID:7296,Disease-Protein,Disease,MeSH,D000562,Amebiasis,Protein,GeneID,7296,TXNRD1,,TTD,
MeSH:D000690,GeneID:1270,Disease-Protein,Disease,MeSH,D000690,Amyotrophic Lateral Sclerosis,Protein,GeneID,1270,CNTF,,TTD,
MeSH:D000690,GeneID:2253,Disease-Protein,Disease,MeSH,D000690,Amyotrophic Lateral Sclerosis,Protein,GeneID,2253,FGF8,,TTD,
MeSH:D000690,GeneID:2346,Disease-Protein,Disease,MeSH,D000690,Amyotrophic Lateral Sclerosis,Protein,GeneID,2346,FOLH1,,TTD,
MeSH:D000690,GeneID:596,Disease-Protein,Disease,MeSH,D000690,Amyotrophic Lateral Sclerosis,Protein,GeneID,596,BCL2,,TTD,
MeSH:D000690,GeneID:6647,Disease-Protein,Disease,MeSH,D000690,Amyotrophic Lateral Sclerosis,Protein,GeneID,6647,SOD1,,TTD,
MeSH:D000690,GeneID:842,Disease-Protein,Disease,MeSH,D000690,Amyotrophic Lateral Sclerosis,Protein,GeneID,842,CASP9,,TTD,
MeSH:D000740,GeneID:112398,Disease-Protein,Disease,MeSH,D000740,Anemia,Protein,GeneID,112398,EGLN2,,TTD,
MeSH:D000740,GeneID:2057,Disease-Protein,Disease,MeSH,D000740,Anemia,Protein,GeneID,2057,EPOR,,TTD,
MeSH:D000740,GeneID:3778,Disease-Protein,Disease,MeSH,D000740,Anemia,Protein,GeneID,3778,KCNMA1,,TTD,
MeSH:D000740,GeneID:3783,Disease-Protein,Disease,MeSH,D000740,Anemia,Protein,GeneID,3783,KCNN4,,TTD,
MeSH:D000741,GeneID:909,Disease-Protein,Disease,MeSH,D000741,"Anemia, Aplastic",Protein,GeneID,909,CD1A,,TTD,
MeSH:D000755,GeneID:3778,Disease-Protein,Disease,MeSH,D000755,"Anemia, Sickle Cell",Protein,GeneID,3778,KCNMA1,,TTD,
MeSH:D000755,GeneID:3783,Disease-Protein,Disease,MeSH,D000755,"Anemia, Sickle Cell",Protein,GeneID,3783,KCNN4,,TTD,
MeSH:D000758,GeneID:1128,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,1128,CHRM1,,TTD,
MeSH:D000758,GeneID:1135,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,1135,CHRNA2,,TTD,
MeSH:D000758,GeneID:2166,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,2166,FAAH,,TTD,
MeSH:D000758,GeneID:2554,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,2554,GABRA1,,TTD,
MeSH:D000758,GeneID:3269,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,3269,HRH1,,TTD,
MeSH:D000758,GeneID:3359,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,3359,HTR3A,,TTD,
MeSH:D000758,GeneID:476,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,476,ATP1A1,,TTD,
MeSH:D000758,GeneID:4988,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,4988,OPRM1,,TTD,
MeSH:D000758,GeneID:6331,Disease-Protein,Disease,MeSH,D000758,Anesthesia,Protein,GeneID,6331,SCN5A,,TTD,
MeSH:D000772,GeneID:6323,Disease-Protein,Disease,MeSH,D000772,"Anesthesia, Local",Protein,GeneID,6323,SCN1A,,TTD,
MeSH:D000775,GeneID:6336,Disease-Protein,Disease,MeSH,D000775,"Anesthesia, Spinal",Protein,GeneID,6336,SCN10A,,TTD,
MeSH:D000787,GeneID:1374,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,1374,CPT1A,,TTD,
MeSH:D000787,GeneID:1375,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,1375,CPT1B,,TTD,
MeSH:D000787,GeneID:4846,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,4846,NOS3,,TTD,
MeSH:D000787,GeneID:6335,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,6335,SCN9A,,TTD,
MeSH:D000787,GeneID:6336,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,6336,SCN10A,,TTD,
MeSH:D000787,GeneID:6915,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,6915,TBXA2R,,TTD,
MeSH:D000787,GeneID:706,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,706,TSPO,,TTD,
MeSH:D000787,GeneID:781,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,781,CACNA2D1,,TTD,
MeSH:D000787,GeneID:786,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,786,CACNG1,,TTD,
MeSH:D000787,GeneID:8911,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,8911,CACNA1I,,TTD,
MeSH:D000787,GeneID:8913,Disease-Protein,Disease,MeSH,D000787,Angina Pectoris,Protein,GeneID,8913,CACNA1G,,TTD,
MeSH:D000789,GeneID:2776,Disease-Protein,Disease,MeSH,D000789,"Angina, Unstable",Protein,GeneID,2776,GNAQ,,TTD,
MeSH:D000789,GeneID:3766,Disease-Protein,Disease,MeSH,D000789,"Angina, Unstable",Protein,GeneID,3766,KCNJ10,,TTD,
MeSH:D000795,GeneID:2717,Disease-Protein,Disease,MeSH,D000795,Fabry Disease,Protein,GeneID,2717,GLA,,TTD,
MeSH:D000799,GeneID:5294,Disease-Protein,Disease,MeSH,D000799,Angioedema,Protein,GeneID,5294,PIK3CG,,TTD,
MeSH:D000855,GeneID:1268,Disease-Protein,Disease,MeSH,D000855,Anorexia,Protein,GeneID,1268,CNR1,,TTD,
