XID,category,NameSpace,ID,Name
MeSH:D000038,Disease,MeSH,D000038,Abscess
MeSH:D000152,Disease,MeSH,D000152,Acne Vulgaris
MeSH:D000163,Disease,MeSH,D000163,Acquired Immunodeficiency Syndrome
MeSH:D000172,Disease,MeSH,D000172,Acromegaly
MeSH:D000224,Disease,MeSH,D000224,Addison Disease
MeSH:D000230,Disease,MeSH,D000230,Adenocarcinoma
MeSH:D000292,Disease,MeSH,D000292,Pelvic Inflammatory Disease
MeSH:D000309,Disease,MeSH,D000309,Adrenal Insufficiency
MeSH:D000312,Disease,MeSH,D000312,"Adrenal Hyperplasia, Congenital"
MeSH:D000326,Disease,MeSH,D000326,Adrenoleukodystrophy
MeSH:D000342,Disease,MeSH,D000342,Affective Symptoms
MeSH:D000375,Disease,MeSH,D000375,Aging
MeSH:D000419,Disease,MeSH,D000419,Albuminuria
MeSH:D000437,Disease,MeSH,D000437,Alcoholism
MeSH:D000505,Disease,MeSH,D000505,Alopecia
MeSH:D000544,Disease,MeSH,D000544,Alzheimer Disease
MeSH:D000562,Disease,MeSH,D000562,Amebiasis
MeSH:D000568,Disease,MeSH,D000568,Amenorrhea
MeSH:D000686,Disease,MeSH,D000686,Amyloidosis
MeSH:D000690,Disease,MeSH,D000690,Amyotrophic Lateral Sclerosis
MeSH:D000698,Disease,MeSH,D000698,Analgesia
MeSH:D000740,Disease,MeSH,D000740,Anemia
MeSH:D000741,Disease,MeSH,D000741,"Anemia, Aplastic"
MeSH:D000744,Disease,MeSH,D000744,"Anemia, Hemolytic, Autoimmune"
MeSH:D000755,Disease,MeSH,D000755,"Anemia, Sickle Cell"
MeSH:D000758,Disease,MeSH,D000758,Anesthesia
MeSH:D000772,Disease,MeSH,D000772,"Anesthesia, Local"
MeSH:D000775,Disease,MeSH,D000775,"Anesthesia, Spinal"
MeSH:D000787,Disease,MeSH,D000787,Angina Pectoris
MeSH:D000789,Disease,MeSH,D000789,"Angina, Unstable"
MeSH:D000795,Disease,MeSH,D000795,Fabry Disease
MeSH:D000799,Disease,MeSH,D000799,Angioedema
MeSH:D000855,Disease,MeSH,D000855,Anorexia
MeSH:D000856,Disease,MeSH,D000856,Anorexia Nervosa
MeSH:D000858,Disease,MeSH,D000858,Anovulation
